Airport Code,2002,2003,2004,2005,2006,2007,2008,2009
SAV,846683,829821,957208,1032676,950904,992625,959037,799066
MSN,759506,802730,846369,804519,803503,783937,728075,747941
PSP,547190,627231,687098,715627,771867,806679,772906,739349
ICT,635839,691191,729051,718457,710380,769124,780756,730374
CAK,440346,576472,671278,711540,710337,691603,722337,715367
MYR,614828,650106,748608,776051,692364,804742,705430,704771
BTV,546857,546452,627423,690641,681678,703186,747559,700592
PNS,665881,689268,734921,815157,807069,832158,771917,694786
SRQ,563625,533045,562398,656007,712379,782497,753126,675969
GSP,688061,675498,780842,893397,756490,774450,699805,625728
MDT,652552,650340,688610,647468,577559,643285,635627,615625
FAT,497156,501373,538394,574012,623997,636032,600489,580203
HSV,481374,512540,585058,619499,561395,607205,612690,572767
PHF,293181,360018,451113,514361,513367,513381,504292,498205
FNT,361484,479350,596484,553468,532680,532621,526492,489388
FAI,380576,388841,420394,420597,424816,449076,456947,424496
SGF,317511,314834,354326,434362,428249,433232,380419,398025
SBA,368250,383902,417285,431079,434753,415399,413929,379777
BZN,271712,281463,308929,336516,318115,335642,349550,343754
RAP,206337,217949,240703,244174,226323,237692,273151,266467
SWF,176195,201851,250006,199741,156638,455045,392464,197655
